tract_id,ward,partial,blocks,housing,housing_percent,pop,pop_percent
17031150200,45,0,155,3331,1,7540,1
17031150300,38,1,81,1995,0.638,4964,0.69
17031150300,45,1,43,1134,0.362,2234,0.31
17031150401,38,1,54,1032,0.525,2676,0.558
17031150401,45,1,29,935,0.475,2117,0.442
17031150402,38,0,76,1461,1,3886,1
17031150501,38,0,42,1452,1,3648,1
17031150502,38,0,46,1614,1,4205,1
17031150600,36,1,27,506,0.328,1588,0.381
17031150600,38,1,46,1037,0.672,2575,0.619
17031150700,30,1,8,229,0.14,686,0.149
17031150700,36,1,18,293,0.179,915,0.199
17031150700,38,1,32,868,0.531,2341,0.508
17031150700,45,1,11,246,0.15,666,0.145
17031150800,30,1,28,632,0.334,1945,0.368
17031150800,45,1,45,1258,0.666,3335,0.632
17031151001,31,0,18,1004,1,2819,1
17031151002,30,1,29,554,0.321,1343,0.294
17031151002,31,1,26,1172,0.679,3224,0.706
17031151100,30,1,37,1043,0.542,2960,0.542
17031151100,31,1,10,439,0.228,1180,0.216
17031151100,36,1,20,443,0.23,1318,0.241
17031151200,30,1,16,332,0.251,975,0.251
17031151200,36,1,47,992,0.749,2909,0.749
17031160100,39,0,46,1032,1,2485,1
17031160200,39,1,35,800,0.574,1942,0.564
17031160200,45,1,31,594,0.426,1501,0.436
17031160300,39,1,34,2017,0.998,3770,0.996
17031160300,45,1,3,5,0.002,15,0.004
17031160400,35,1,29,868,0.422,2244,0.471
17031160400,39,1,38,628,0.305,1496,0.314
17031160400,45,1,23,563,0.273,1028,0.216
17031160501,33,1,19,778,0.526,2123,0.507
17031160501,35,1,20,702,0.474,2065,0.493
17031160502,33,1,21,622,0.447,1450,0.408
17031160502,35,1,20,768,0.553,2100,0.592
17031160601,33,0,38,1461,1,3490,1
17031160602,33,0,42,1602,1,3589,1
17031160700,33,0,79,2414,1,5893,1
17031160800,33,1,33,989,0.491,2473,0.48
17031160800,35,1,42,1026,0.509,2675,0.52
17031160900,30,1,22,252,0.234,592,0.246
17031160900,45,1,46,827,0.766,1813,0.754
17031161000,45,0,40,872,1,1707,1
17031161100,45,0,37,879,1,1861,1
17031161200,30,0,45,1052,1,2930,1
17031161300,30,0,78,1669,1,4117,1
17031170100,38,0,10,1089,1,1752,1
17031170200,36,1,27,512,0.396,1538,0.395
17031170200,38,1,36,781,0.604,2354,0.605
17031170300,38,0,90,1952,1,5129,1
17031170400,38,0,93,1558,1,3870,1
17031170500,38,0,113,2026,1,4980,1
17031170600,38,0,74,981,1,2498,1
17031170700,38,0,66,1203,1,2980,1
17031170800,29,1,27,657,0.449,1653,0.444
17031170800,38,1,40,805,0.551,2068,0.556
17031170900,29,0,30,661,1,1713,1
17031171000,29,1,17,275,0.1,720,0.099
17031171000,36,1,61,1033,0.375,2768,0.38
17031171000,38,1,71,1444,0.525,3799,0.521
17031171100,30,1,12,242,0.177,715,0.174
17031171100,36,1,56,1129,0.823,3395,0.826
17031180100,29,1,38,854,0.394,2275,0.37
17031180100,36,1,79,1316,0.606,3881,0.63
17031190100,31,0,26,823,1,2488,1
17031190200,30,1,2,48,0.028,199,0.034
17031190200,31,1,67,1643,0.972,5654,0.966
17031190300,30,1,8,210,0.107,567,0.098
17031190300,31,1,76,1744,0.893,5227,0.902
17031190401,30,1,53,954,0.738,3251,0.764
17031190401,36,1,18,339,0.262,1006,0.236
17031190402,30,1,62,1350,0.795,4410,0.808
17031190402,31,1,17,349,0.205,1048,0.192
17031190601,30,0,54,1267,1,4545,1
17031190602,30,0,77,1495,1,5516,1
17031190701,30,1,15,456,0.519,1579,0.534
17031190701,31,1,15,422,0.481,1376,0.466
17031190702,30,1,32,1003,0.658,3294,0.677
17031190702,31,1,16,522,0.342,1575,0.323
17031190800,31,0,80,2034,1,6632,1
17031190900,31,0,35,690,1,2040,1
17031191000,31,1,3,35,0.048,106,0.041
17031191000,36,1,46,690,0.952,2453,0.959
17031191100,31,1,3,24,0.011,88,0.012
